# Frame Contacts
30000 7
30010 7
30020 7
30030 7
30040 1
30050 6
30060 10
30070 3
30080 6
30090 8
30100 7
30110 2
30120 0
30130 0
30140 0
30150 0
30160 0
30170 0
30180 0
30190 0
30200 7
30210 2
30220 3
30230 8
30240 8
30250 13
30260 9
30270 0
30280 0
30290 0
30300 0
30310 0
30320 0
30330 1
30340 0
30350 1
30360 0
30370 0
30380 0
30390 0
30400 0
30410 0
30420 0
30430 0
30440 0
30450 0
30460 0
30470 5
30480 0
30490 3
30500 0
30510 0
30520 0
30530 0
30540 0
30550 0
30560 0
30570 0
30580 0
30590 0
30600 0
30610 0
30620 0
30630 0
30640 0
30650 0
30660 0
30670 0
30680 0
30690 0
30700 0
30710 0
30720 0
30730 0
30740 0
30750 1
30760 0
30770 0
30780 0
30790 0
30800 0
30810 0
30820 0
30830 0
30840 0
30850 0
30860 1
30870 1
30880 3
30890 1
30900 0
30910 0
30920 0
30930 0
30940 0
30950 0
30960 0
30970 0
30980 0
30990 0
31000 0
31010 0
31020 0
31030 0
31040 0
31050 0
31060 0
31070 0
31080 0
31090 0
31100 0
31110 0
31120 0
31130 0
31140 0
31150 0
31160 0
31170 0
31180 0
31190 0
31200 0
31210 0
31220 0
31230 0
31240 0
31250 0
31260 0
31270 0
31280 0
31290 0
31300 0
31310 0
31320 0
31330 0
31340 0
31350 0
31360 0
31370 0
31380 0
31390 1
31400 0
31410 0
31420 0
31430 2
31440 0
31450 0
31460 0
31470 0
31480 0
31490 0
31500 0
31510 0
31520 0
31530 0
31540 0
31550 0
31560 0
31570 0
31580 1
31590 0
31600 0
31610 0
31620 0
31630 0
31640 0
31650 0
31660 0
31670 0
31680 0
31690 0
31700 0
31710 0
31720 0
31730 0
31740 0
31750 0
31760 0
31770 0
31780 0
31790 0
31800 0
31810 0
31820 0
31830 0
31840 0
31850 1
31860 0
31870 0
31880 1
31890 2
31900 0
31910 3
31920 0
31930 1
31940 0
31950 1
31960 6
31970 0
31980 1
31990 0
32000 0
32010 0
32020 0
32030 0
32040 0
32050 0
32060 0
32070 0
32080 2
32090 9
32100 3
32110 6
32120 8
32130 6
32140 6
32150 8
32160 2
32170 0
32180 0
32190 0
32200 0
32210 5
32220 5
32230 0
32240 0
32250 5
32260 5
32270 3
32280 0
32290 0
32300 0
32310 0
32320 3
32330 1
32340 4
32350 1
32360 0
32370 0
32380 0
32390 0
32400 0
32410 2
32420 5
32430 0
32440 0
32450 0
32460 0
32470 0
32480 0
32490 0
32500 0
32510 0
32520 0
32530 0
32540 0
32550 0
32560 0
32570 0
32580 0
32590 0
32600 0
32610 0
32620 0
32630 1
32640 0
32650 0
32660 0
32670 0
32680 0
32690 0
32700 0
32710 0
32720 0
32730 0
32740 0
32750 0
32760 0
