# Frame Contacts
3000 22
3001 19
3002 18
3003 24
3004 21
3005 21
3006 20
3007 32
3008 26
3009 31
3010 21
3011 24
3012 22
3013 25
3014 24
3015 19
3016 21
3017 26
3018 20
3019 23
3020 29
3021 26
3022 28
3023 19
3024 23
3025 19
3026 17
3027 24
3028 20
3029 26
3030 23
3031 17
3032 35
3033 23
3034 9
3035 14
3036 19
3037 24
3038 26
3039 19
3040 29
3041 22
3042 31
3043 26
3044 19
3045 28
3046 22
3047 21
3048 19
3049 23
3050 22
3051 17
3052 22
3053 14
3054 21
3055 16
3056 17
3057 14
3058 22
3059 16
3060 20
3061 24
3062 28
3063 25
3064 11
3065 24
3066 23
3067 12
3068 16
3069 17
3070 23
3071 17
3072 10
3073 17
3074 17
3075 23
3076 14
3077 14
3078 16
3079 20
3080 15
3081 21
3082 10
3083 18
3084 13
3085 18
3086 14
3087 13
3088 23
3089 17
3090 22
3091 14
3092 32
3093 20
3094 21
3095 17
3096 12
3097 21
3098 20
3099 19
3100 21
3101 20
3102 17
3103 23
3104 17
3105 12
3106 18
3107 20
3108 24
3109 17
3110 26
3111 12
3112 18
3113 23
3114 23
3115 18
3116 18
3117 16
3118 18
3119 18
3120 16
3121 25
3122 16
3123 19
3124 14
3125 16
3126 9
3127 18
3128 24
3129 19
3130 17
3131 12
3132 22
3133 18
3134 19
3135 24
3136 17
3137 26
3138 20
3139 19
3140 22
3141 25
3142 24
3143 20
3144 17
3145 19
3146 17
3147 25
3148 22
3149 22
3150 15
3151 19
3152 29
3153 22
3154 18
3155 23
3156 30
3157 17
3158 22
3159 22
3160 31
3161 18
3162 17
3163 28
3164 14
3165 25
3166 20
3167 22
3168 18
3169 23
3170 20
3171 22
3172 26
3173 22
3174 18
3175 18
3176 28
3177 14
3178 20
3179 22
3180 24
3181 20
3182 19
3183 18
3184 17
3185 18
3186 28
3187 21
3188 15
3189 22
3190 15
3191 23
3192 21
3193 20
3194 21
3195 16
3196 20
3197 17
3198 20
3199 12
3200 16
3201 11
3202 20
3203 15
3204 18
3205 19
3206 21
3207 19
3208 21
3209 22
3210 17
3211 21
3212 23
3213 20
3214 27
3215 26
3216 17
3217 20
3218 17
3219 12
3220 25
3221 23
3222 25
3223 23
3224 21
3225 16
3226 16
3227 28
3228 19
3229 24
3230 21
3231 21
3232 22
3233 17
3234 19
3235 22
3236 30
3237 17
3238 29
3239 26
3240 22
3241 25
3242 26
3243 20
3244 17
3245 22
3246 27
3247 23
3248 22
3249 30
3250 24
3251 26
3252 19
3253 16
3254 20
3255 23
3256 24
3257 25
3258 20
3259 24
3260 20
3261 11
3262 26
3263 17
3264 27
3265 24
3266 16
3267 22
3268 23
3269 25
3270 24
3271 20
3272 29
3273 21
3274 21
3275 26
3276 25
3277 18
3278 21
3279 24
3280 17
3281 21
3282 18
3283 16
3284 16
3285 16
3286 16
3287 19
3288 21
3289 18
3290 17
3291 19
3292 24
3293 24
3294 22
3295 21
3296 21
3297 17
3298 14
3299 21
3300 16
3301 14
3302 13
3303 23
3304 21
3305 16
3306 19
3307 16
3308 15
3309 27
3310 26
3311 27
3312 28
3313 17
3314 21
3315 22
3316 21
3317 19
3318 19
3319 19
3320 21
3321 14
3322 18
3323 15
3324 17
3325 13
3326 18
3327 16
3328 16
3329 23
3330 23
3331 18
3332 25
3333 21
3334 21
3335 28
3336 18
3337 15
3338 10
3339 22
3340 19
3341 23
3342 18
3343 19
3344 15
3345 18
3346 23
3347 18
3348 13
3349 24
3350 15
3351 21
3352 19
3353 22
3354 24
3355 17
3356 21
3357 19
3358 20
3359 10
3360 20
3361 16
3362 23
3363 14
3364 18
3365 24
3366 26
3367 24
3368 14
3369 24
3370 16
3371 30
3372 15
3373 20
3374 22
3375 27
3376 19
3377 14
3378 21
3379 16
3380 16
3381 19
3382 13
3383 17
3384 21
3385 21
3386 21
3387 14
3388 12
3389 12
3390 14
3391 13
3392 20
3393 31
3394 28
3395 20
3396 26
3397 21
3398 24
3399 23
3400 25
3401 25
3402 20
3403 19
3404 25
3405 25
3406 15
3407 13
3408 16
3409 24
3410 22
3411 18
3412 21
3413 18
3414 18
3415 27
3416 19
3417 21
3418 14
3419 20
3420 12
3421 14
3422 21
3423 20
3424 13
3425 19
3426 19
3427 19
3428 18
3429 13
3430 22
3431 28
3432 18
3433 15
3434 30
3435 16
3436 16
3437 20
3438 16
3439 18
3440 16
3441 19
3442 18
3443 16
3444 16
3445 18
3446 11
3447 13
3448 15
3449 18
3450 16
3451 12
3452 17
3453 21
3454 24
3455 7
3456 8
3457 18
3458 20
3459 17
3460 16
3461 12
3462 18
3463 20
3464 14
3465 19
3466 17
3467 20
3468 14
3469 18
3470 18
3471 15
3472 16
3473 15
3474 24
3475 13
3476 14
3477 19
3478 23
3479 21
3480 13
3481 19
3482 17
3483 16
3484 19
3485 20
3486 14
3487 18
3488 16
3489 16
3490 11
3491 22
3492 21
3493 16
3494 14
3495 15
3496 24
3497 13
3498 10
3499 17
3500 19
3501 21
3502 19
3503 10
3504 12
3505 12
3506 12
3507 16
3508 18
3509 13
3510 21
3511 16
3512 15
3513 15
3514 11
3515 15
3516 21
3517 16
3518 20
3519 10
3520 13
3521 17
3522 10
3523 18
3524 21
3525 11
3526 15
3527 15
3528 15
3529 11
3530 17
3531 11
3532 10
3533 10
3534 15
3535 6
3536 14
3537 18
3538 12
3539 11
3540 12
3541 13
3542 15
3543 12
3544 7
3545 16
3546 19
3547 13
3548 16
3549 17
3550 13
3551 15
3552 15
3553 8
3554 13
3555 11
3556 13
3557 22
3558 13
3559 19
3560 15
3561 14
3562 18
3563 19
3564 14
3565 19
3566 14
3567 19
3568 16
3569 9
3570 15
3571 14
3572 16
3573 17
3574 10
3575 11
3576 11
3577 13
3578 14
3579 13
3580 17
3581 7
3582 12
3583 13
3584 13
3585 11
3586 9
3587 14
3588 10
3589 17
3590 12
3591 18
3592 11
3593 13
3594 14
3595 13
3596 14
3597 9
3598 12
3599 14
3600 20
3601 9
3602 9
3603 16
3604 19
3605 8
3606 18
3607 14
3608 17
3609 9
3610 11
3611 13
3612 13
3613 17
3614 15
3615 17
3616 12
3617 18
3618 14
3619 17
3620 18
3621 8
3622 12
3623 8
3624 12
3625 15
3626 12
3627 10
3628 12
3629 15
3630 13
3631 16
3632 15
3633 15
3634 8
3635 13
3636 13
3637 11
3638 15
3639 12
3640 19
3641 18
3642 13
3643 14
3644 18
3645 15
3646 16
3647 11
3648 18
3649 8
3650 16
3651 11
3652 17
3653 12
3654 19
3655 9
3656 19
3657 20
3658 18
3659 13
3660 17
3661 16
3662 16
3663 15
3664 17
3665 13
3666 12
3667 20
3668 15
3669 15
3670 12
3671 8
3672 17
3673 15
3674 10
3675 11
3676 18
3677 12
3678 10
3679 11
3680 15
3681 15
3682 11
3683 11
3684 24
3685 24
3686 10
3687 19
3688 17
3689 19
3690 18
3691 18
3692 26
3693 23
3694 9
3695 22
3696 17
3697 21
3698 20
3699 17
3700 9
3701 17
3702 20
3703 25
3704 19
3705 17
3706 15
3707 27
3708 16
3709 18
3710 28
3711 19
3712 18
3713 21
3714 17
3715 23
3716 14
3717 26
3718 12
3719 22
3720 17
3721 19
3722 14
3723 20
3724 15
3725 15
3726 24
3727 23
3728 16
3729 24
3730 27
3731 27
3732 11
3733 14
3734 20
3735 23
3736 14
3737 15
3738 17
3739 21
3740 23
3741 13
3742 15
3743 21
3744 30
3745 19
3746 25
3747 28
3748 32
3749 24
3750 20
3751 20
3752 23
3753 15
3754 21
3755 17
3756 15
3757 15
3758 21
3759 18
3760 14
3761 22
3762 25
3763 22
3764 26
3765 23
3766 24
3767 19
3768 16
3769 26
3770 19
3771 19
3772 15
3773 23
3774 22
3775 29
3776 15
3777 23
3778 21
3779 25
3780 20
3781 18
3782 23
3783 15
3784 17
3785 20
3786 17
3787 23
3788 21
3789 19
3790 18
3791 22
3792 28
3793 20
3794 22
3795 21
3796 25
3797 23
3798 22
3799 25
3800 29
3801 14
3802 28
3803 26
3804 29
3805 27
3806 25
3807 24
3808 16
3809 18
3810 19
3811 23
3812 20
3813 29
3814 24
3815 24
3816 19
3817 14
3818 16
3819 16
3820 23
3821 15
3822 15
3823 13
3824 22
3825 13
3826 14
3827 17
3828 26
3829 11
3830 21
3831 15
3832 15
3833 27
3834 23
3835 21
3836 19
3837 20
3838 15
3839 21
3840 23
3841 27
3842 19
3843 21
3844 21
3845 11
3846 14
3847 21
3848 8
3849 16
3850 27
3851 13
3852 18
3853 23
3854 14
3855 17
3856 7
3857 19
3858 21
3859 12
3860 21
3861 14
3862 26
3863 18
3864 17
3865 16
3866 15
3867 17
3868 17
3869 9
3870 17
3871 10
3872 20
3873 20
3874 21
3875 16
3876 12
3877 14
3878 19
3879 13
3880 13
3881 16
3882 12
3883 10
3884 11
3885 19
3886 21
3887 14
3888 9
3889 14
3890 7
3891 10
3892 8
3893 15
3894 17
3895 14
3896 18
3897 8
3898 13
3899 16
3900 14
3901 25
3902 22
3903 15
3904 25
3905 13
3906 17
3907 15
3908 14
3909 9
3910 17
3911 18
3912 18
3913 23
3914 17
3915 12
3916 18
3917 8
3918 9
3919 13
3920 18
3921 9
3922 16
3923 20
3924 12
3925 23
3926 14
3927 10
3928 24
3929 24
3930 23
3931 14
3932 21
3933 16
3934 18
3935 12
3936 19
3937 16
3938 26
3939 21
3940 29
3941 19
3942 26
3943 14
3944 9
3945 18
3946 18
3947 14
3948 27
3949 20
3950 21
3951 22
3952 26
3953 20
3954 23
3955 15
3956 20
3957 23
3958 21
3959 19
3960 21
3961 17
3962 18
3963 16
3964 19
3965 18
3966 17
3967 15
3968 11
3969 10
3970 23
3971 22
3972 14
3973 21
3974 20
3975 25
3976 20
3977 19
3978 22
3979 20
3980 18
3981 13
3982 21
3983 25
3984 19
3985 19
3986 24
3987 17
3988 22
3989 20
3990 22
3991 26
3992 15
3993 20
3994 21
3995 24
3996 26
3997 25
3998 20
3999 15
4000 13
4001 25
4002 17
4003 17
4004 12
4005 23
4006 18
4007 24
4008 16
4009 11
4010 18
4011 12
4012 22
4013 23
4014 23
4015 19
4016 27
4017 22
4018 10
4019 17
4020 18
4021 21
4022 20
4023 12
4024 21
4025 20
4026 13
4027 15
4028 23
4029 14
4030 19
4031 21
4032 9
4033 16
4034 21
4035 10
4036 23
4037 15
4038 22
4039 21
4040 16
4041 14
4042 19
4043 25
4044 19
4045 25
4046 21
4047 16
4048 17
4049 18
4050 9
4051 18
4052 15
4053 23
4054 25
4055 13
4056 15
4057 18
4058 12
4059 18
4060 16
4061 16
4062 15
4063 19
4064 26
4065 17
4066 17
4067 19
4068 25
4069 13
4070 18
4071 22
4072 21
4073 7
4074 20
4075 7
4076 17
4077 22
4078 19
4079 21
4080 23
4081 16
4082 16
4083 17
4084 11
4085 13
4086 16
4087 20
4088 21
4089 12
4090 17
4091 11
4092 19
4093 17
4094 12
4095 14
4096 12
4097 9
4098 16
4099 13
4100 12
4101 9
4102 16
4103 16
4104 12
4105 15
4106 7
4107 15
4108 6
4109 13
4110 7
4111 10
4112 11
4113 13
4114 13
4115 18
4116 17
4117 12
4118 13
4119 10
4120 8
4121 7
4122 15
4123 16
4124 14
4125 15
4126 21
4127 15
4128 19
4129 14
4130 17
4131 18
4132 13
4133 8
4134 8
4135 12
4136 18
4137 11
4138 19
4139 8
4140 10
4141 11
4142 16
4143 9
4144 13
4145 15
4146 12
4147 12
4148 21
4149 14
4150 15
4151 12
4152 10
4153 18
4154 7
4155 10
4156 13
4157 6
4158 13
4159 9
4160 15
4161 15
4162 13
4163 20
4164 19
4165 22
4166 16
4167 14
4168 8
4169 23
4170 17
4171 18
4172 22
4173 10
4174 10
4175 20
4176 18
4177 18
4178 18
4179 18
4180 18
4181 20
4182 17
4183 12
4184 13
4185 8
4186 12
4187 15
4188 11
4189 11
4190 18
4191 15
4192 15
4193 11
4194 18
4195 13
4196 10
4197 17
4198 17
4199 15
4200 15
4201 20
4202 14
4203 17
4204 9
4205 12
4206 9
4207 21
4208 19
4209 11
4210 13
4211 10
4212 15
4213 8
4214 10
4215 14
4216 6
4217 17
4218 14
4219 11
4220 16
4221 18
4222 11
4223 9
4224 13
4225 18
4226 13
4227 15
4228 12
4229 16
4230 14
4231 12
4232 13
4233 13
4234 19
4235 8
4236 14
4237 13
4238 13
4239 17
4240 10
4241 9
4242 13
4243 9
4244 13
4245 14
4246 8
4247 6
4248 19
4249 9
4250 17
4251 12
4252 15
4253 26
4254 27
4255 15
4256 21
4257 17
4258 19
4259 25
4260 19
4261 23
4262 23
4263 25
4264 22
4265 8
4266 5
4267 9
4268 15
4269 15
4270 9
4271 12
4272 8
4273 13
4274 15
4275 10
4276 15
4277 12
4278 11
4279 12
4280 15
4281 14
4282 11
4283 16
4284 14
4285 13
4286 8
4287 12
4288 5
4289 11
4290 16
4291 12
4292 11
4293 7
4294 5
4295 15
4296 9
4297 19
4298 11
4299 10
4300 6
4301 9
4302 18
4303 8
4304 9
4305 17
4306 11
4307 8
4308 9
4309 7
4310 15
4311 11
4312 7
4313 16
4314 14
4315 13
4316 9
4317 9
4318 9
4319 20
4320 12
4321 15
4322 8
4323 18
4324 7
4325 12
4326 10
4327 19
4328 9
4329 12
4330 14
4331 15
4332 10
4333 15
4334 15
4335 13
4336 9
4337 11
4338 15
4339 13
4340 14
4341 15
4342 18
4343 13
4344 14
4345 19
4346 10
4347 13
4348 9
4349 13
4350 14
4351 11
4352 8
4353 17
4354 18
4355 12
4356 10
4357 9
4358 18
4359 17
4360 12
4361 14
4362 16
4363 12
4364 11
4365 13
4366 14
4367 13
4368 13
4369 14
4370 16
4371 14
4372 15
4373 11
4374 12
4375 10
4376 13
4377 14
4378 11
4379 10
4380 4
4381 8
4382 6
4383 14
4384 12
4385 8
4386 19
4387 12
4388 14
4389 15
4390 11
4391 6
4392 17
4393 9
4394 18
4395 17
4396 5
4397 11
4398 10
4399 12
4400 17
4401 14
4402 15
4403 15
4404 13
4405 12
4406 10
4407 14
4408 13
4409 12
4410 10
4411 15
4412 26
4413 18
4414 14
4415 9
4416 9
4417 21
4418 11
4419 21
4420 16
4421 18
4422 8
4423 13
4424 15
4425 12
4426 14
4427 14
4428 20
4429 20
4430 21
4431 13
4432 15
4433 12
4434 12
4435 13
4436 15
4437 15
4438 10
4439 18
4440 7
4441 9
4442 15
4443 20
4444 8
4445 8
4446 23
4447 16
4448 14
4449 11
4450 21
4451 12
4452 21
4453 23
4454 9
4455 12
4456 20
4457 14
4458 17
4459 16
4460 7
4461 12
4462 16
4463 14
4464 16
4465 16
4466 15
4467 9
4468 12
4469 8
4470 6
4471 17
4472 19
4473 25
4474 12
4475 13
4476 14
4477 16
4478 21
4479 14
4480 28
4481 9
4482 16
4483 21
4484 23
4485 16
4486 22
4487 10
4488 25
4489 16
4490 15
4491 18
4492 10
4493 17
4494 19
4495 14
4496 11
4497 13
4498 23
4499 19
4500 24
4501 7
4502 24
4503 16
4504 20
4505 18
4506 18
4507 22
4508 27
4509 19
4510 18
4511 17
4512 24
4513 20
4514 25
4515 11
4516 22
4517 18
4518 20
4519 14
4520 17
4521 17
4522 20
4523 19
4524 18
4525 19
4526 16
4527 16
4528 22
4529 21
4530 19
4531 17
4532 20
4533 21
4534 20
4535 20
4536 23
4537 18
4538 23
4539 18
4540 17
4541 22
4542 18
4543 15
4544 16
4545 19
4546 21
4547 18
4548 24
4549 22
4550 25
4551 23
4552 24
4553 18
4554 16
4555 26
4556 15
4557 17
4558 13
4559 17
4560 24
4561 26
4562 21
4563 13
4564 20
4565 21
4566 25
4567 20
4568 13
4569 16
4570 21
4571 16
4572 28
4573 15
4574 19
4575 15
4576 15
4577 15
4578 23
4579 25
4580 26
4581 20
4582 20
4583 18
4584 11
4585 16
4586 10
4587 14
4588 15
4589 19
4590 19
4591 19
4592 25
4593 18
4594 22
4595 11
4596 19
4597 14
4598 14
4599 18
4600 16
4601 9
4602 21
4603 10
4604 14
4605 14
4606 18
4607 13
4608 21
4609 14
4610 13
4611 24
4612 19
4613 15
4614 22
4615 17
4616 16
4617 13
4618 23
4619 27
4620 19
4621 24
4622 16
4623 17
4624 16
4625 17
4626 17
4627 19
4628 24
4629 24
4630 20
4631 19
4632 26
4633 24
4634 22
4635 22
4636 18
4637 20
4638 30
4639 15
4640 26
4641 21
4642 22
4643 20
4644 22
4645 24
4646 17
4647 25
4648 8
4649 20
4650 25
4651 16
4652 19
4653 25
4654 19
4655 18
4656 18
4657 22
4658 19
4659 12
4660 18
4661 17
4662 14
4663 19
4664 17
4665 23
4666 23
4667 17
4668 16
4669 18
4670 19
4671 25
4672 17
4673 16
4674 20
4675 11
4676 22
4677 18
4678 19
4679 16
4680 20
4681 18
4682 16
4683 24
4684 15
4685 11
4686 16
4687 15
4688 5
4689 19
4690 17
4691 18
4692 20
4693 14
4694 15
4695 16
4696 13
4697 12
4698 12
4699 23
4700 16
4701 10
4702 20
4703 21
4704 8
4705 11
4706 9
4707 14
4708 16
4709 15
4710 9
4711 18
4712 15
4713 20
4714 19
4715 18
4716 15
4717 11
4718 13
4719 10
4720 12
4721 15
4722 16
4723 13
4724 10
4725 6
4726 18
4727 21
4728 15
4729 13
4730 12
4731 11
4732 13
4733 17
4734 10
4735 10
4736 20
4737 21
4738 14
4739 11
4740 16
4741 20
4742 22
4743 16
4744 19
4745 10
4746 19
4747 15
4748 18
4749 14
4750 14
4751 10
4752 23
4753 13
4754 9
4755 10
4756 17
4757 22
4758 15
4759 17
4760 16
4761 5
4762 12
4763 14
4764 11
4765 9
4766 14
4767 16
4768 13
4769 17
4770 15
4771 22
4772 14
4773 13
4774 12
4775 12
4776 14
4777 16
4778 10
4779 13
4780 10
4781 17
4782 12
4783 19
4784 17
4785 10
4786 13
4787 11
4788 15
4789 15
4790 8
4791 19
4792 15
4793 11
4794 13
4795 12
4796 16
4797 18
4798 11
4799 14
4800 8
4801 9
4802 20
4803 20
4804 14
4805 18
4806 14
4807 25
