# Frame Contacts
30000 24
30010 19
30020 31
30030 45
30040 29
30050 10
30060 24
30070 22
30080 26
30090 17
30100 10
30110 27
30120 24
30130 21
30140 16
30150 21
30160 19
30170 22
30180 21
30190 11
30200 31
30210 22
30220 30
30230 31
30240 20
30250 33
30260 23
30270 13
30280 15
30290 35
30300 47
30310 39
30320 29
30330 38
30340 42
30350 55
30360 28
30370 40
30380 36
30390 34
30400 41
30410 49
30420 39
30430 28
30440 39
30450 26
30460 17
30470 35
30480 34
30490 36
30500 21
30510 40
30520 34
30530 41
30540 27
30550 43
30560 49
30570 35
30580 48
30590 40
30600 40
30610 52
30620 38
30630 35
30640 38
30650 32
30660 32
30670 33
30680 31
30690 19
30700 28
30710 19
30720 23
30730 20
30740 32
30750 26
30760 29
30770 29
30780 24
30790 25
30800 31
30810 35
30820 32
30830 28
30840 28
30850 30
30860 34
30870 30
30880 27
30890 23
30900 38
30910 22
30920 31
30930 18
30940 28
30950 31
30960 29
30970 32
30980 16
30990 28
31000 36
31010 26
31020 32
31030 30
31040 40
31050 33
31060 39
31070 26
31080 31
31090 27
31100 37
31110 24
31120 30
31130 28
31140 23
31150 28
31160 31
31170 30
31180 27
31190 40
31200 30
31210 28
31220 26
31230 44
31240 45
31250 43
31260 32
31270 39
31280 39
31290 33
31300 51
31310 42
31320 33
31330 37
31340 39
31350 47
31360 41
31370 36
31380 29
31390 33
31400 29
31410 32
31420 32
31430 39
31440 52
31450 44
31460 43
31470 32
31480 33
31490 57
31500 35
31510 44
31520 31
31530 43
31540 23
31550 23
31560 32
31570 41
31580 25
31590 33
31600 45
31610 35
31620 38
31630 34
31640 38
31650 26
31660 20
31670 27
31680 28
31690 37
31700 33
31710 33
31720 23
31730 23
31740 29
31750 28
31760 28
31770 31
31780 30
31790 27
31800 9
31810 11
31820 37
31830 25
31840 18
31850 27
31860 53
31870 46
31880 40
31890 41
31900 51
31910 37
31920 40
31930 40
31940 46
31950 42
31960 47
31970 39
31980 54
31990 47
32000 47
32010 55
32020 41
32030 48
32040 36
32050 42
32060 35
32070 45
32080 38
32090 45
32100 47
32110 45
32120 51
32130 36
32140 43
32150 32
32160 44
32170 42
32180 39
32190 36
32200 41
32210 37
32220 37
32230 43
32240 47
32250 30
32260 43
32270 34
32280 41
32290 34
32300 38
32310 40
32320 38
32330 40
32340 41
32350 39
32360 41
32370 33
32380 34
32390 44
32400 41
32410 41
32420 51
32430 41
32440 48
32450 46
32460 42
32470 45
32480 36
32490 38
32500 51
32510 48
32520 39
32530 41
32540 36
32550 39
32560 58
32570 36
32580 40
32590 43
32600 41
32610 54
32620 49
32630 39
32640 55
32650 39
32660 45
32670 57
32680 49
32690 39
32700 42
32710 40
32720 43
32730 30
32740 40
32750 48
32760 44
32770 57
32780 48
32790 48
32800 62
32810 50
32820 52
32830 36
32840 40
32850 43
32860 38
32870 28
32880 41
32890 41
32900 25
32910 43
32920 41
32930 36
32940 29
32950 49
32960 34
32970 38
32980 46
32990 52
33000 49
33010 58
33020 43
33030 61
33040 55
33050 32
33060 30
33070 48
33080 44
33090 38
33100 30
33110 29
33120 33
33130 27
33140 28
33150 29
33160 33
33170 25
33180 32
33190 35
33200 36
33210 27
33220 20
33230 28
33240 20
33250 29
33260 22
33270 33
33280 39
33290 25
33300 27
33310 27
33320 40
33330 38
33340 50
33350 44
33360 26
33370 25
33380 31
33390 29
33400 23
33410 37
33420 29
33430 33
33440 24
33450 30
33460 28
33470 25
33480 32
33490 29
33500 25
33510 43
33520 25
33530 31
33540 25
33550 32
33560 26
33570 31
33580 30
33590 29
33600 25
33610 22
33620 25
33630 31
33640 33
33650 37
33660 36
33670 36
33680 33
33690 41
33700 41
33710 33
33720 28
33730 34
33740 19
33750 31
33760 40
33770 41
33780 24
33790 16
33800 36
33810 31
33820 32
33830 31
33840 15
33850 22
33860 13
33870 29
33880 14
33890 27
33900 11
33910 17
33920 9
33930 20
33940 13
33950 20
33960 18
33970 27
33980 32
33990 36
34000 26
34010 25
34020 42
34030 23
34040 40
34050 31
34060 39
34070 34
34080 35
34090 34
34100 54
34110 41
34120 35
34130 33
34140 22
34150 38
34160 31
34170 29
34180 37
34190 41
34200 48
34210 35
34220 30
34230 53
34240 34
34250 43
34260 44
34270 42
34280 49
34290 41
34300 26
34310 35
34320 33
34330 35
34340 19
34350 25
34360 46
34370 28
34380 20
34390 35
34400 32
34410 37
34420 32
34430 37
34440 61
34450 46
34460 35
34470 39
34480 33
34490 42
34500 37
34510 36
34520 41
34530 31
34540 38
34550 36
34560 35
34570 35
34580 37
34590 40
34600 32
34610 18
34620 27
34630 37
34640 36
34650 40
34660 35
34670 39
34680 32
34690 42
34700 36
34710 45
34720 23
34730 30
34740 34
34750 36
34760 44
34770 37
34780 39
34790 47
34800 27
34810 34
34820 42
34830 32
34840 37
34850 25
34860 41
34870 45
34880 34
34890 48
34900 35
34910 52
34920 42
34930 37
34940 50
34950 32
34960 29
34970 28
34980 36
34990 32
35000 33
35010 26
35020 30
35030 33
35040 27
35050 37
35060 33
35070 33
35080 36
35090 38
35100 38
35110 37
35120 42
35130 36
35140 35
35150 52
35160 29
35170 30
35180 42
35190 41
35200 36
35210 41
35220 43
35230 45
35240 23
35250 33
35260 45
35270 35
35280 36
35290 49
35300 35
35310 31
35320 40
35330 35
35340 48
35350 43
35360 39
35370 34
35380 37
35390 50
35400 55
35410 51
35420 33
35430 24
35440 42
35450 37
35460 36
35470 37
35480 43
35490 37
35500 39
35510 37
35520 36
35530 28
35540 43
35550 23
35560 36
35570 34
35580 28
35590 49
35600 39
35610 43
35620 58
35630 47
35640 41
35650 40
35660 59
35670 61
35680 51
35690 49
35700 54
35710 35
35720 48
35730 32
35740 29
35750 48
35760 50
35770 38
35780 39
35790 37
35800 34
35810 29
35820 49
35830 47
35840 41
35850 53
35860 48
35870 43
35880 31
35890 35
35900 43
35910 47
35920 47
35930 50
35940 57
35950 28
35960 46
35970 53
35980 37
35990 30
36000 46
36010 44
36020 35
36030 32
36040 37
36050 39
36060 32
36070 39
36080 37
36090 32
36100 27
36110 34
36120 26
36130 19
36140 23
36150 21
36160 30
36170 32
36180 26
36190 18
36200 26
36210 22
36220 17
36230 29
36240 20
36250 21
36260 31
36270 38
36280 39
36290 30
36300 26
