# Frame Contacts
30000 11
30010 11
30020 12
30030 13
30040 13
30050 15
30060 13
30070 18
30080 16
30090 17
30100 17
30110 17
30120 17
30130 16
30140 11
30150 18
30160 16
30170 11
30180 14
30190 17
30200 17
30210 13
30220 16
30230 18
30240 16
30250 15
30260 6
30270 8
30280 15
30290 17
30300 14
30310 20
30320 17
30330 15
30340 16
30350 14
30360 19
30370 16
30380 19
30390 17
30400 16
30410 16
30420 17
30430 16
30440 20
30450 17
30460 21
30470 18
30480 14
30490 17
30500 18
30510 21
30520 20
30530 16
30540 13
30550 16
30560 14
30570 16
30580 18
30590 17
30600 16
30610 18
30620 16
30630 13
30640 17
30650 18
30660 18
30670 11
30680 9
30690 19
30700 14
30710 7
30720 18
30730 16
30740 17
30750 8
30760 19
30770 12
30780 17
30790 18
30800 17
30810 17
30820 14
30830 12
30840 9
30850 14
30860 7
30870 7
30880 7
30890 15
30900 10
30910 9
30920 10
30930 14
30940 12
30950 13
30960 17
30970 13
30980 7
30990 9
31000 11
31010 14
31020 14
31030 17
31040 15
31050 15
31060 16
31070 11
31080 12
31090 14
31100 16
31110 12
31120 15
31130 18
31140 15
31150 17
31160 13
31170 15
31180 17
31190 14
31200 17
31210 13
31220 16
31230 15
31240 22
31250 16
31260 16
31270 19
31280 18
31290 17
31300 14
31310 16
31320 8
31330 15
31340 15
31350 17
31360 13
31370 17
31380 16
31390 16
31400 6
31410 15
31420 17
31430 17
31440 17
31450 14
31460 13
31470 17
31480 18
31490 15
31500 13
31510 14
31520 16
31530 16
31540 17
31550 17
31560 16
31570 17
31580 15
31590 17
31600 17
31610 19
31620 13
31630 16
31640 17
31650 13
31660 11
31670 13
31680 13
31690 13
31700 13
31710 12
31720 14
31730 14
31740 18
31750 14
31760 11
31770 13
31780 14
31790 13
31800 13
31810 15
31820 15
31830 8
31840 14
31850 12
31860 16
31870 14
31880 13
31890 13
31900 11
31910 15
31920 13
31930 13
31940 13
31950 13
31960 13
31970 14
31980 12
31990 12
32000 14
32010 12
32020 14
32030 13
32040 13
32050 13
32060 13
32070 13
32080 17
32090 13
32100 14
32110 12
32120 14
32130 17
32140 12
32150 17
32160 14
32170 12
32180 12
32190 10
32200 13
32210 14
32220 17
32230 15
32240 13
32250 14
32260 17
32270 19
32280 14
32290 10
32300 14
32310 16
32320 15
32330 21
32340 14
32350 16
32360 16
32370 14
32380 15
32390 14
32400 17
32410 12
32420 14
32430 14
32440 15
32450 14
32460 14
32470 14
32480 13
32490 13
32500 12
32510 13
32520 15
32530 8
32540 11
32550 8
32560 12
32570 11
32580 11
32590 13
32600 13
32610 14
32620 13
32630 13
32640 13
32650 16
32660 15
32670 17
32680 14
32690 15
32700 13
32710 14
32720 15
32730 10
32740 17
32750 18
32760 14
32770 12
32780 16
32790 10
32800 12
32810 15
32820 16
32830 14
32840 14
32850 13
32860 14
32870 15
32880 15
32890 15
32900 15
32910 13
32920 13
32930 16
32940 15
32950 16
32960 18
32970 13
32980 13
32990 14
33000 14
33010 13
33020 14
33030 15
33040 14
33050 16
33060 13
33070 16
33080 13
33090 13
33100 16
33110 13
33120 13
33130 16
33140 19
33150 13
33160 13
33170 13
33180 12
33190 15
33200 16
33210 13
33220 14
33230 13
33240 12
33250 11
33260 10
33270 11
33280 13
33290 17
33300 17
33310 12
33320 13
33330 13
33340 11
33350 13
33360 14
33370 15
33380 8
33390 16
33400 14
33410 17
33420 13
33430 14
33440 11
33450 13
33460 11
33470 12
33480 13
33490 11
33500 12
33510 11
33520 16
33530 17
33540 13
33550 13
33560 14
33570 14
33580 15
33590 12
33600 14
33610 16
33620 13
33630 13
33640 13
33650 14
33660 10
33670 15
33680 8
33690 14
33700 13
33710 14
33720 15
33730 15
33740 15
33750 13
33760 15
33770 15
33780 13
33790 13
33800 13
33810 13
33820 16
33830 14
33840 13
33850 13
33860 16
33870 13
33880 13
33890 15
33900 14
33910 13
33920 14
33930 14
33940 13
33950 13
33960 13
33970 15
33980 13
33990 19
34000 19
34010 15
34020 13
34030 11
34040 14
34050 16
34060 16
34070 17
34080 15
34090 13
34100 13
34110 13
34120 13
34130 17
34140 10
34150 14
34160 13
34170 12
34180 17
34190 12
34200 13
34210 14
34220 12
34230 13
34240 11
34250 9
34260 15
34270 13
34280 13
34290 10
34300 13
34310 10
34320 13
34330 14
34340 11
34350 11
34360 15
34370 16
34380 16
34390 12
34400 14
34410 12
34420 17
34430 11
34440 15
34450 17
34460 17
34470 17
34480 13
34490 13
34500 13
34510 15
34520 14
34530 15
34540 20
34550 17
34560 16
34570 14
34580 13
34590 13
34600 11
34610 17
34620 24
34630 14
34640 16
34650 14
34660 15
34670 14
34680 13
34690 13
34700 15
34710 14
34720 14
34730 19
34740 14
34750 17
34760 14
34770 13
34780 15
34790 13
34800 14
34810 18
34820 14
34830 12
34840 16
34850 17
34860 13
34870 17
34880 14
34890 17
34900 15
34910 17
34920 14
34930 15
34940 15
34950 17
34960 18
34970 16
34980 15
34990 13
35000 15
35010 20
35020 18
35030 16
35040 19
35050 18
35060 17
35070 17
35080 19
35090 22
35100 16
35110 18
35120 16
35130 20
35140 16
35150 16
35160 18
