# Frame Contacts
3000 940
3010 895
3020 921
3030 869
3040 900
3050 933
3060 902
3070 934
3080 875
3090 913
3100 850
3110 832
3120 859
3130 850
3140 834
3150 891
3160 863
3170 885
3180 826
3190 761
3200 878
3210 771
3220 748
3230 755
3240 802
3250 772
3260 756
3270 834
3280 804
3290 845
3300 794
3310 782
3320 749
3330 780
3340 729
3350 845
3360 867
3370 790
3380 918
3390 926
3400 874
3410 894
3420 838
3430 829
3440 851
3450 903
3460 757
3470 795
3480 778
3490 704
3500 768
3510 776
3520 748
3530 773
3540 881
3550 914
3560 903
3570 858
3580 816
3590 866
3600 824
3610 885
3620 894
3630 836
3640 873
3650 944
3660 894
3670 1006
3680 986
3690 1007
3700 994
3710 1013
3720 902
3730 990
3740 955
3750 964
3760 1022
3770 938
3780 870
3790 781
3800 845
3810 837
3820 912
3830 921
3840 821
3850 892
3860 899
3870 877
3880 829
3890 870
3900 909
3910 926
3920 960
3930 1007
3940 1049
3950 981
3960 953
3970 990
3980 952
3990 1017
4000 947
4010 1034
4020 985
4030 927
4040 937
4050 905
4060 988
4070 1008
4080 970
4090 1034
4100 999
4110 893
4120 914
4130 893
4140 986
4150 946
4160 939
4170 983
4180 1010
4190 988
4200 977
4210 997
4220 930
4230 892
4240 911
4250 992
4260 891
4270 918
4280 1006
4290 885
4300 850
4310 948
4320 968
4330 980
4340 995
4350 955
4360 975
4370 991
4380 1005
4390 962
4400 945
4410 956
4420 898
4430 925
4440 962
4450 983
4460 953
4470 985
4480 1085
4490 1080
4500 986
4510 1033
4520 1038
4530 1052
4540 1008
4550 1024
4560 1049
4570 850
4580 968
4590 944
4600 972
4610 1040
4620 990
4630 942
4640 1032
4650 1033
4660 953
4670 940
4680 1021
4690 911
4700 911
4710 993
4720 1005
4730 936
4740 1019
4750 929
4760 966
4770 975
4780 962
4790 1005
4800 947
4810 1021
4820 921
4830 941
4840 867
4850 943
4860 1009
4870 980
4880 1060
4890 999
4900 1020
4910 953
4920 999
4930 968
4940 1030
4950 1012
4960 952
4970 936
4980 972
4990 1048
5000 997
5010 1004
5020 922
5030 1009
5040 991
5050 992
5060 959
5070 967
5080 966
5090 985
5100 976
5110 892
5120 925
5130 994
5140 899
5150 944
5160 957
5170 1010
5180 964
5190 971
5200 873
5210 882
5220 995
5230 939
5240 915
5250 950
5260 909
5270 936
5280 932
5290 961
5300 919
5310 1033
5320 949
5330 982
5340 955
5350 1030
5360 965
5370 856
5380 878
5390 889
5400 879
5410 864
5420 858
5430 936
5440 976
5450 980
5460 1021
5470 999
5480 972
5490 1031
5500 1034
5510 1085
5520 1021
5530 1142
5540 1059
5550 1062
5560 1246
5570 1176
5580 1087
5590 1066
5600 1057
5610 1025
5620 1031
5630 1050
5640 1095
5650 1087
5660 1041
5670 1052
5680 1123
5690 1071
5700 1095
5710 1117
5720 1049
5730 1097
5740 1068
5750 1092
5760 1019
5770 1058
5780 1126
5790 1077
5800 1080
5810 1119
5820 1140
5830 1177
5840 1174
5850 1137
5860 1170
5870 1272
5880 1100
5890 1108
5900 1161
5910 1086
5920 1143
5930 1088
5940 1087
5950 1155
5960 1070
5970 1071
5980 1086
5990 1014
6000 1012
6010 1038
6020 1079
6030 1093
6040 1140
6050 1065
6060 1076
6070 1090
6080 1111
6090 1102
6100 1088
6110 1099
6120 1141
6130 1018
6140 1031
6150 1121
6160 1049
6170 1122
6180 1114
6190 1051
6200 1024
6210 1021
6220 1059
6230 1082
6240 1044
6250 1076
6260 1043
6270 1071
6280 1033
6290 1109
6300 988
6310 1158
6320 1065
6330 1044
6340 986
6350 1041
6360 968
6370 1030
6380 994
6390 1038
6400 1065
6410 1129
6420 1025
6430 1051
6440 1055
6450 1090
6460 1128
6470 1041
6480 1159
6490 1085
6500 1088
6510 1052
6520 1046
6530 1040
