# Frame Contacts
3000 800
3010 752
3020 904
3030 811
3040 825
3050 803
3060 817
3070 833
3080 811
3090 774
3100 815
3110 858
3120 830
3130 871
3140 788
3150 778
3160 826
3170 862
3180 810
3190 763
3200 779
3210 833
3220 853
3230 784
3240 802
3250 741
3260 843
3270 778
3280 835
3290 765
3300 803
3310 762
3320 796
3330 787
3340 827
3350 803
3360 838
3370 753
3380 757
3390 803
3400 783
3410 801
3420 854
3430 813
3440 813
3450 834
3460 773
3470 787
3480 743
3490 718
3500 771
3510 778
3520 777
3530 735
3540 786
3550 758
3560 802
3570 770
3580 771
3590 801
3600 760
3610 818
3620 795
3630 752
3640 768
3650 789
3660 860
3670 769
3680 824
3690 749
3700 781
3710 749
3720 786
3730 742
3740 790
3750 712
3760 744
3770 764
3780 781
3790 770
3800 740
3810 679
3820 734
3830 781
3840 741
3850 742
3860 717
3870 705
3880 721
3890 695
3900 675
3910 813
3920 769
3930 818
3940 810
3950 761
3960 734
3970 765
3980 756
3990 788
4000 856
4010 817
4020 800
4030 826
4040 784
4050 760
4060 689
4070 695
4080 779
4090 741
4100 804
4110 788
4120 819
4130 751
4140 796
4150 747
4160 800
4170 757
4180 771
4190 797
4200 750
4210 824
4220 789
4230 761
4240 760
4250 728
4260 716
4270 738
4280 738
4290 777
4300 799
4310 780
4320 819
4330 730
4340 725
4350 752
4360 785
4370 693
4380 710
4390 730
4400 820
4410 778
4420 754
4430 834
4440 730
4450 774
4460 825
4470 800
4480 796
4490 823
4500 795
4510 804
4520 781
4530 775
4540 800
4550 782
4560 774
4570 748
4580 779
4590 840
4600 735
4610 773
4620 824
4630 805
4640 733
4650 761
4660 739
4670 778
4680 791
4690 774
4700 793
4710 799
4720 749
4730 775
4740 714
4750 728
4760 757
4770 776
4780 693
4790 763
4800 749
4810 756
4820 770
4830 693
4840 729
4850 729
4860 738
4870 758
4880 709
4890 778
4900 821
4910 825
4920 708
4930 712
4940 688
4950 692
4960 726
4970 760
4980 680
4990 741
5000 708
5010 729
5020 716
5030 745
5040 764
5050 759
5060 731
5070 667
5080 667
5090 713
5100 760
5110 718
5120 722
5130 741
5140 755
5150 702
5160 630
5170 777
5180 808
5190 760
5200 687
5210 737
5220 772
5230 644
5240 656
5250 625
5260 698
5270 729
5280 712
5290 798
5300 732
5310 780
5320 795
5330 791
5340 819
5350 784
5360 721
5370 707
5380 769
5390 713
5400 742
5410 774
5420 760
5430 693
5440 663
5450 747
5460 715
5470 735
5480 728
5490 800
5500 875
5510 828
5520 804
5530 779
5540 760
5550 841
5560 774
5570 733
5580 770
5590 758
5600 710
5610 804
5620 724
5630 711
5640 740
5650 744
5660 754
5670 733
5680 720
5690 793
5700 775
5710 856
5720 825
5730 855
5740 746
5750 825
5760 759
5770 771
5780 828
5790 836
5800 876
5810 893
5820 863
5830 827
5840 925
5850 772
5860 910
5870 880
5880 814
5890 839
5900 810
5910 789
5920 889
5930 941
5940 861
5950 815
5960 789
5970 827
5980 769
5990 728
6000 729
6010 792
6020 808
6030 818
6040 833
6050 774
6060 814
6070 816
6080 833
6090 766
6100 836
6110 815
6120 737
6130 833
6140 857
6150 765
6160 756
6170 832
6180 804
6190 787
6200 760
6210 881
6220 848
6230 775
6240 901
6250 864
6260 888
6270 875
6280 836
6290 782
6300 869
6310 858
6320 835
6330 849
6340 873
6350 819
6360 871
6370 786
6380 811
6390 804
6400 824
6410 896
6420 771
6430 773
6440 803
6450 753
6460 722
6470 749
6480 749
6490 799
6500 798
6510 828
6520 788
6530 924
6540 871
6550 823
6560 770
6570 776
6580 822
6590 858
6600 889
6610 792
6620 879
6630 878
6640 820
6650 779
6660 904
6670 789
6680 820
6690 772
6700 829
6710 843
6720 753
6730 853
6740 777
6750 833
6760 740
6770 831
6780 797
6790 766
6800 877
6810 922
6820 853
6830 831
6840 861
6850 808
6860 917
6870 818
6880 866
6890 797
6900 829
6910 834
6920 850
6930 685
6940 799
6950 807
6960 755
6970 760
6980 816
6990 835
7000 815
7010 805
7020 801
7030 796
7040 842
7050 847
7060 916
7070 938
7080 837
7090 798
7100 885
7110 872
7120 840
7130 812
7140 895
7150 814
7160 864
7170 859
7180 857
7190 812
7200 807
7210 851
7220 871
7230 875
7240 832
7250 873
7260 833
7270 901
7280 837
7290 860
7300 852
7310 771
7320 817
7330 821
7340 766
7350 881
7360 789
7370 796
7380 799
7390 823
7400 764
7410 788
7420 845
7430 815
7440 842
7450 891
7460 803
7470 789
7480 810
7490 795
7500 788
7510 786
7520 766
7530 869
7540 788
7550 824
7560 793
7570 781
7580 831
7590 848
7600 848
7610 865
7620 798
7630 825
7640 820
7650 832
7660 821
7670 835
7680 888
7690 887
7700 814
7710 921
7720 841
7730 779
7740 829
7750 859
7760 870
7770 771
7780 779
7790 782
7800 864
7810 843
7820 827
7830 811
7840 781
7850 808
7860 769
7870 869
7880 861
7890 815
7900 761
7910 830
7920 818
7930 886
7940 819
7950 770
7960 834
7970 821
7980 776
7990 827
8000 839
8010 717
8020 774
8030 757
8040 818
8050 878
8060 746
8070 815
8080 839
8090 797
8100 891
8110 855
8120 863
8130 914
8140 838
8150 900
8160 892
8170 854
8180 902
8190 855
8200 834
8210 943
8220 858
8230 919
8240 912
8250 949
8260 918
8270 874
8280 878
8290 846
8300 873
8310 908
8320 858
8330 834
8340 933
8350 878
8360 843
8370 872
8380 831
8390 883
8400 892
8410 901
8420 869
8430 824
8440 865
8450 873
8460 888
8470 843
8480 769
8490 823
8500 865
8510 799
8520 913
8530 886
8540 841
8550 833
8560 883
8570 832
8580 872
8590 848
8600 876
8610 804
8620 776
8630 858
8640 816
8650 743
8660 784
8670 873
8680 740
8690 867
8700 858
8710 790
8720 797
8730 750
8740 805
8750 817
8760 911
8770 853
8780 874
8790 858
8800 839
8810 849
8820 826
8830 838
8840 834
8850 903
8860 833
8870 839
8880 807
8890 876
8900 889
8910 798
8920 891
8930 868
8940 833
8950 832
8960 809
8970 824
8980 855
8990 836
9000 820
9010 875
9020 826
9030 773
9040 810
9050 886
9060 825
9070 901
9080 903
9090 919
9100 1008
9110 909
9120 962
9130 993
9140 891
9150 815
9160 868
9170 893
9180 883
9190 929
9200 1039
9210 980
9220 949
9230 860
9240 981
9250 993
9260 944
9270 894
9280 894
9290 883
9300 959
9310 959
9320 986
9330 1041
9340 887
9350 917
9360 940
9370 858
9380 926
9390 957
9400 934
9410 966
9420 974
9430 893
9440 928
9450 938
9460 915
9470 883
9480 898
9490 885
9500 906
9510 951
9520 1038
9530 974
9540 962
9550 928
9560 1023
9570 1010
9580 987
9590 1000
9600 993
9610 1009
9620 1010
9630 939
9640 1001
9650 999
9660 992
9670 947
9680 951
9690 943
9700 913
9710 953
9720 967
9730 939
9740 951
9750 952
9760 938
9770 887
9780 847
9790 901
9800 907
9810 899
9820 897
9830 885
9840 880
9850 916
9860 852
9870 928
9880 829
9890 838
9900 930
9910 872
9920 857
9930 860
9940 883
9950 853
9960 948
9970 999
9980 926
9990 953
