# Frame Contacts
3000 1524
3010 1542
3020 1477
3030 1488
3040 1418
3050 1415
3060 1419
3070 1586
3080 1607
3090 1512
3100 1409
3110 1474
3120 1487
3130 1528
3140 1471
3150 1526
3160 1507
3170 1406
3180 1543
3190 1640
3200 1565
3210 1623
3220 1636
3230 1677
3240 1641
3250 1740
3260 1658
3270 1686
3280 1635
3290 1629
3300 1680
3310 1692
3320 1666
3330 1610
3340 1651
3350 1671
3360 1667
3370 1647
3380 1737
3390 1612
3400 1720
3410 1647
3420 1644
3430 1644
3440 1642
3450 1677
3460 1541
3470 1677
3480 1615
3490 1707
3500 1607
3510 1580
3520 1545
3530 1525
3540 1504
3550 1484
3560 1596
3570 1530
3580 1573
3590 1581
3600 1627
3610 1552
3620 1529
3630 1606
3640 1603
3650 1451
3660 1498
3670 1495
3680 1579
3690 1536
3700 1531
3710 1546
3720 1528
3730 1521
3740 1442
3750 1456
3760 1542
3770 1510
3780 1589
3790 1656
3800 1463
3810 1512
3820 1516
3830 1591
3840 1520
3850 1539
3860 1519
3870 1496
3880 1619
3890 1548
3900 1449
3910 1456
3920 1448
3930 1459
3940 1519
3950 1530
3960 1579
3970 1579
3980 1587
3990 1538
4000 1719
4010 1661
4020 1666
4030 1714
4040 1617
4050 1636
4060 1612
4070 1650
4080 1686
4090 1718
4100 1656
4110 1603
4120 1632
4130 1567
4140 1638
4150 1550
4160 1602
4170 1442
4180 1623
4190 1570
4200 1502
4210 1583
4220 1558
4230 1545
4240 1549
4250 1613
4260 1580
4270 1542
4280 1591
4290 1569
4300 1467
4310 1617
4320 1545
4330 1526
4340 1501
4350 1550
4360 1526
4370 1526
4380 1585
4390 1600
4400 1538
4410 1607
4420 1572
4430 1615
4440 1621
4450 1576
4460 1612
4470 1521
4480 1582
4490 1499
4500 1522
4510 1568
4520 1523
4530 1464
4540 1398
4550 1497
4560 1442
4570 1386
4580 1472
4590 1434
4600 1430
4610 1469
4620 1437
4630 1413
4640 1407
4650 1521
4660 1484
4670 1380
4680 1399
4690 1446
4700 1372
4710 1500
4720 1337
4730 1455
4740 1441
4750 1414
4760 1427
4770 1516
4780 1434
4790 1392
4800 1510
4810 1433
4820 1487
4830 1496
4840 1496
4850 1503
4860 1448
4870 1413
4880 1421
4890 1473
4900 1428
4910 1484
4920 1436
4930 1428
4940 1455
4950 1499
4960 1449
4970 1418
4980 1485
4990 1430
5000 1443
5010 1392
5020 1347
5030 1487
5040 1398
5050 1462
5060 1472
5070 1413
5080 1409
5090 1493
5100 1426
5110 1408
5120 1420
5130 1442
5140 1375
5150 1389
5160 1421
5170 1383
5180 1394
5190 1332
5200 1476
5210 1405
5220 1424
5230 1416
5240 1390
5250 1347
5260 1351
5270 1309
5280 1325
5290 1384
5300 1403
5310 1326
5320 1409
5330 1468
5340 1408
5350 1444
5360 1423
5370 1358
5380 1479
5390 1466
5400 1341
5410 1373
5420 1433
5430 1385
5440 1473
5450 1438
5460 1345
5470 1437
5480 1350
5490 1480
5500 1400
5510 1396
5520 1423
5530 1481
5540 1454
5550 1379
5560 1450
5570 1439
5580 1426
5590 1461
5600 1337
5610 1441
5620 1451
5630 1365
5640 1363
5650 1446
5660 1413
5670 1379
5680 1353
5690 1399
5700 1349
5710 1316
5720 1378
5730 1405
5740 1391
5750 1344
