# Frame Contacts
3000 899
3010 909
3020 932
3030 966
3040 909
3050 829
3060 952
3070 948
3080 970
3090 887
3100 908
3110 915
3120 895
3130 952
3140 921
3150 905
3160 954
3170 965
3180 925
3190 966
3200 966
3210 915
3220 933
3230 835
3240 976
3250 884
3260 939
3270 1017
3280 906
3290 825
3300 855
3310 846
3320 806
3330 884
3340 898
3350 952
3360 898
3370 836
3380 863
3390 857
3400 882
3410 865
3420 890
3430 916
3440 867
3450 926
3460 974
3470 902
3480 855
3490 868
3500 827
3510 884
3520 846
3530 911
3540 925
3550 887
3560 953
3570 995
3580 955
3590 958
3600 987
3610 981
3620 981
3630 955
3640 917
3650 980
3660 946
3670 969
3680 855
3690 897
3700 819
3710 890
3720 879
3730 871
3740 858
3750 900
3760 855
3770 870
3780 940
3790 874
3800 783
3810 792
3820 854
3830 886
3840 979
3850 1002
3860 870
3870 839
3880 854
3890 883
3900 873
3910 979
3920 927
3930 897
3940 874
3950 873
3960 884
3970 834
3980 966
3990 857
4000 941
4010 917
4020 919
4030 846
4040 842
4050 839
4060 897
4070 820
4080 877
4090 836
4100 789
4110 889
4120 811
4130 821
4140 759
4150 844
4160 839
4170 845
4180 736
4190 787
4200 795
4210 837
4220 840
4230 809
4240 882
4250 819
4260 764
4270 852
4280 795
4290 809
4300 800
4310 824
4320 812
4330 781
4340 727
4350 852
4360 829
4370 774
4380 816
4390 858
4400 746
4410 810
4420 805
4430 803
4440 839
4450 764
4460 801
4470 818
4480 830
4490 865
4500 847
4510 847
4520 841
4530 809
4540 817
4550 838
4560 880
4570 799
4580 868
4590 835
4600 851
4610 792
4620 818
4630 826
4640 894
4650 886
4660 821
4670 896
4680 898
4690 803
4700 872
4710 993
4720 866
4730 853
4740 914
4750 842
4760 890
4770 998
4780 878
4790 1014
4800 886
4810 926
4820 928
4830 913
4840 945
4850 916
4860 865
4870 877
4880 900
4890 808
4900 765
4910 860
4920 737
4930 803
4940 760
4950 762
4960 817
4970 893
4980 856
4990 771
5000 824
5010 790
5020 867
5030 775
5040 822
5050 831
5060 849
5070 753
5080 689
5090 707
5100 750
5110 752
5120 718
5130 814
5140 802
5150 821
5160 776
5170 780
5180 821
5190 799
5200 844
5210 865
5220 862
5230 808
5240 756
5250 877
5260 811
5270 859
5280 753
5290 830
5300 819
5310 801
5320 848
5330 871
5340 811
5350 839
5360 827
5370 816
5380 817
5390 878
5400 813
5410 819
5420 806
5430 845
5440 783
5450 802
5460 843
5470 850
5480 808
5490 780
5500 772
5510 780
5520 866
5530 778
5540 804
5550 825
5560 785
5570 845
5580 816
5590 887
5600 846
5610 843
5620 787
5630 897
5640 899
5650 864
5660 850
