# Frame Contacts
3000 1315
3010 1403
3020 1473
3030 1366
3040 1396
3050 1375
3060 1362
3070 1380
3080 1437
3090 1363
3100 1322
3110 1361
3120 1440
3130 1316
3140 1461
3150 1332
3160 1360
3170 1383
3180 1360
3190 1347
3200 1392
3210 1320
3220 1294
3230 1308
3240 1367
3250 1281
3260 1232
3270 1241
3280 1313
3290 1414
3300 1433
3310 1324
3320 1493
3330 1401
3340 1295
3350 1331
3360 1322
3370 1395
3380 1409
3390 1368
3400 1392
3410 1363
3420 1438
3430 1356
3440 1416
3450 1308
3460 1422
3470 1330
3480 1464
3490 1449
3500 1449
3510 1517
3520 1473
3530 1451
3540 1453
3550 1396
3560 1481
3570 1424
3580 1415
3590 1399
3600 1424
3610 1505
3620 1585
3630 1438
3640 1370
3650 1331
3660 1344
3670 1381
3680 1370
3690 1468
3700 1585
3710 1532
3720 1531
3730 1458
3740 1605
3750 1451
3760 1544
3770 1444
3780 1523
3790 1562
3800 1510
3810 1452
3820 1423
3830 1501
3840 1403
3850 1482
3860 1421
3870 1472
3880 1378
3890 1321
3900 1468
3910 1514
3920 1554
3930 1446
3940 1497
3950 1473
3960 1483
3970 1444
3980 1367
3990 1512
4000 1440
4010 1405
4020 1433
4030 1410
4040 1381
4050 1348
4060 1430
4070 1348
4080 1387
4090 1339
4100 1287
4110 1368
4120 1364
4130 1297
4140 1404
4150 1324
4160 1341
4170 1360
4180 1344
4190 1329
4200 1416
4210 1317
4220 1297
4230 1424
4240 1430
4250 1441
4260 1411
4270 1270
4280 1379
4290 1373
4300 1357
4310 1331
4320 1340
4330 1407
4340 1407
4350 1379
4360 1427
4370 1436
4380 1376
4390 1456
4400 1460
4410 1420
4420 1463
4430 1413
4440 1428
4450 1430
4460 1453
4470 1465
4480 1478
4490 1386
4500 1403
4510 1523
4520 1410
4530 1509
4540 1442
4550 1446
4560 1367
4570 1458
4580 1476
4590 1551
4600 1477
4610 1525
4620 1545
4630 1463
4640 1456
4650 1488
4660 1448
4670 1377
4680 1488
4690 1526
4700 1579
4710 1502
4720 1465
4730 1503
4740 1528
4750 1526
4760 1466
4770 1503
4780 1506
4790 1497
4800 1504
4810 1427
4820 1439
4830 1408
4840 1501
4850 1493
4860 1545
4870 1443
4880 1405
4890 1400
4900 1478
4910 1413
4920 1451
4930 1426
4940 1444
4950 1492
4960 1453
4970 1462
4980 1462
4990 1468
5000 1521
5010 1371
5020 1456
5030 1365
5040 1481
5050 1484
5060 1525
5070 1471
5080 1486
5090 1448
5100 1372
5110 1437
5120 1384
5130 1423
5140 1435
5150 1479
5160 1413
5170 1421
5180 1343
5190 1482
5200 1356
5210 1418
5220 1382
5230 1478
5240 1393
5250 1297
5260 1284
5270 1344
5280 1283
5290 1347
5300 1368
5310 1459
5320 1360
5330 1426
5340 1418
5350 1382
5360 1459
5370 1416
5380 1429
5390 1411
5400 1389
5410 1423
5420 1398
5430 1358
5440 1450
5450 1368
5460 1322
5470 1371
5480 1364
5490 1524
5500 1485
5510 1496
5520 1417
5530 1490
5540 1499
5550 1454
5560 1539
5570 1449
5580 1399
5590 1533
5600 1461
5610 1462
5620 1373
5630 1427
5640 1519
5650 1405
5660 1549
5670 1570
5680 1440
5690 1565
5700 1533
5710 1472
5720 1525
5730 1458
5740 1545
5750 1532
5760 1587
5770 1502
5780 1525
5790 1528
5800 1492
5810 1567
5820 1562
5830 1602
5840 1690
5850 1569
5860 1614
5870 1547
5880 1581
5890 1621
5900 1562
5910 1647
5920 1551
5930 1614
5940 1572
5950 1470
5960 1671
5970 1541
5980 1654
5990 1642
6000 1542
6010 1518
6020 1492
6030 1487
6040 1473
6050 1487
6060 1502
6070 1544
6080 1487
6090 1483
6100 1597
6110 1560
6120 1511
6130 1522
6140 1525
6150 1556
6160 1552
6170 1484
6180 1480
6190 1453
6200 1501
6210 1524
6220 1419
6230 1437
6240 1499
6250 1459
6260 1559
6270 1517
6280 1515
6290 1549
6300 1575
6310 1542
6320 1576
6330 1565
6340 1667
6350 1616
6360 1590
6370 1595
6380 1611
6390 1546
6400 1569
6410 1590
6420 1527
6430 1443
6440 1530
6450 1472
6460 1524
6470 1521
6480 1574
6490 1527
6500 1630
6510 1497
6520 1518
6530 1518
6540 1623
6550 1555
6560 1559
6570 1480
6580 1422
6590 1503
6600 1429
6610 1463
6620 1528
6630 1500
6640 1452
6650 1497
6660 1563
6670 1555
6680 1658
6690 1545
6700 1572
6710 1613
6720 1614
6730 1634
6740 1540
6750 1544
6760 1588
6770 1538
6780 1617
6790 1589
6800 1525
6810 1521
6820 1526
6830 1541
6840 1592
6850 1482
6860 1498
6870 1531
6880 1567
6890 1521
6900 1518
6910 1557
6920 1571
6930 1580
6940 1514
6950 1433
6960 1483
6970 1489
6980 1535
6990 1426
7000 1522
7010 1540
7020 1467
7030 1468
7040 1486
7050 1632
7060 1593
7070 1475
7080 1499
7090 1518
7100 1547
7110 1593
7120 1578
7130 1509
7140 1526
7150 1634
7160 1505
7170 1564
7180 1509
7190 1521
7200 1541
7210 1551
7220 1555
7230 1564
7240 1532
7250 1498
7260 1528
7270 1476
7280 1476
7290 1499
7300 1541
7310 1588
7320 1583
7330 1560
7340 1573
7350 1485
7360 1545
7370 1595
7380 1526
7390 1620
7400 1528
7410 1540
7420 1487
7430 1589
7440 1584
7450 1641
7460 1569
7470 1537
7480 1439
7490 1490
7500 1561
7510 1611
7520 1485
7530 1526
7540 1482
7550 1576
7560 1576
7570 1488
7580 1485
7590 1472
7600 1536
7610 1518
7620 1466
7630 1406
7640 1564
7650 1607
7660 1454
7670 1467
7680 1470
7690 1551
7700 1515
7710 1510
7720 1620
7730 1473
7740 1616
7750 1489
7760 1597
7770 1561
7780 1636
7790 1558
7800 1664
7810 1592
7820 1535
7830 1546
7840 1514
7850 1451
7860 1546
7870 1516
7880 1503
7890 1517
7900 1541
7910 1504
7920 1448
7930 1525
7940 1565
7950 1498
7960 1471
7970 1472
7980 1494
7990 1418
8000 1411
8010 1411
8020 1422
8030 1498
8040 1375
8050 1345
8060 1552
8070 1562
8080 1515
8090 1437
8100 1409
8110 1517
8120 1447
8130 1481
8140 1537
8150 1562
8160 1535
8170 1484
8180 1539
8190 1588
8200 1494
8210 1528
8220 1555
8230 1539
8240 1490
8250 1475
8260 1467
8270 1613
8280 1524
8290 1512
8300 1485
8310 1463
8320 1462
8330 1531
8340 1575
8350 1489
8360 1541
8370 1493
8380 1511
8390 1544
8400 1536
8410 1481
8420 1477
8430 1476
8440 1391
8450 1380
8460 1432
8470 1449
8480 1422
8490 1433
8500 1480
8510 1472
8520 1376
8530 1429
8540 1456
8550 1471
8560 1443
8570 1565
8580 1529
8590 1594
8600 1634
8610 1486
8620 1570
8630 1574
8640 1608
8650 1504
8660 1468
8670 1481
8680 1396
8690 1462
8700 1444
8710 1357
8720 1385
8730 1474
8740 1515
8750 1500
8760 1429
8770 1449
8780 1374
8790 1413
8800 1427
8810 1394
8820 1440
8830 1366
8840 1372
8850 1293
8860 1327
8870 1387
8880 1334
8890 1327
8900 1256
8910 1302
8920 1358
8930 1314
8940 1256
8950 1238
8960 1327
8970 1305
8980 1268
8990 1318
9000 1412
9010 1383
9020 1370
9030 1320
9040 1336
9050 1357
9060 1430
9070 1360
9080 1382
9090 1337
9100 1386
9110 1362
9120 1407
9130 1386
9140 1467
9150 1419
9160 1398
9170 1528
9180 1506
9190 1470
9200 1531
9210 1542
9220 1496
9230 1513
9240 1479
9250 1526
9260 1466
9270 1536
9280 1493
9290 1493
9300 1432
9310 1431
9320 1423
9330 1447
9340 1510
9350 1520
9360 1525
9370 1526
9380 1597
9390 1544
9400 1562
9410 1556
9420 1470
9430 1444
9440 1476
9450 1445
9460 1517
9470 1548
9480 1507
9490 1508
9500 1474
9510 1463
9520 1506
9530 1441
9540 1560
9550 1564
9560 1507
9570 1505
9580 1508
9590 1567
9600 1556
9610 1559
9620 1582
9630 1467
9640 1435
9650 1571
9660 1514
9670 1510
9680 1519
9690 1584
9700 1540
9710 1565
9720 1527
9730 1590
9740 1486
9750 1448
9760 1593
9770 1608
9780 1510
9790 1605
9800 1625
9810 1509
9820 1380
9830 1586
9840 1564
9850 1553
9860 1610
9870 1564
9880 1537
9890 1557
9900 1534
9910 1608
9920 1530
9930 1519
9940 1548
9950 1588
9960 1509
9970 1521
9980 1580
9990 1554
