# Frame Contacts
3000 325
3010 345
3020 306
3030 296
3040 354
3050 335
3060 321
3070 307
3080 283
3090 349
3100 337
3110 313
3120 354
3130 413
3140 443
3150 377
3160 379
3170 386
3180 403
3190 346
3200 406
3210 372
3220 406
3230 369
3240 360
3250 376
3260 445
3270 418
3280 388
3290 407
3300 390
3310 428
3320 446
3330 402
3340 394
3350 381
3360 377
3370 384
3380 379
3390 340
3400 387
3410 321
3420 353
3430 364
3440 385
3450 349
3460 381
3470 338
3480 412
3490 348
3500 323
3510 316
3520 294
3530 322
3540 327
3550 306
3560 310
3570 321
3580 308
3590 301
3600 320
3610 336
3620 325
3630 299
3640 279
3650 275
3660 302
3670 315
3680 326
3690 378
3700 388
3710 336
3720 307
3730 275
3740 327
3750 309
3760 274
3770 308
3780 306
3790 277
3800 348
3810 327
3820 341
3830 391
3840 387
3850 378
3860 332
3870 361
3880 367
3890 334
3900 381
3910 327
3920 400
3930 376
3940 407
3950 431
3960 376
3970 409
3980 409
3990 350
4000 362
4010 344
4020 360
4030 346
4040 347
4050 318
4060 404
4070 322
4080 303
4090 316
4100 295
4110 322
4120 310
4130 312
4140 270
4150 282
4160 266
4170 269
4180 273
4190 241
4200 238
4210 278
4220 263
4230 307
4240 321
4250 321
4260 250
4270 250
4280 238
4290 253
4300 301
4310 294
4320 247
4330 217
4340 264
4350 241
4360 260
4370 266
4380 246
4390 234
4400 272
4410 288
4420 312
4430 312
4440 326
4450 334
4460 308
4470 336
4480 339
4490 305
4500 291
4510 318
4520 321
4530 302
4540 375
4550 329
4560 330
4570 315
4580 349
4590 383
4600 331
4610 349
4620 300
4630 349
4640 357
4650 385
4660 371
4670 349
4680 400
4690 360
4700 319
4710 324
4720 307
4730 311
4740 331
4750 305
4760 323
4770 334
4780 309
4790 362
4800 338
4810 303
4820 283
4830 266
4840 322
4850 273
4860 275
4870 274
4880 280
4890 267
4900 319
4910 353
4920 296
4930 324
4940 306
4950 303
4960 257
4970 327
4980 361
4990 283
5000 344
5010 335
5020 368
5030 349
5040 355
5050 403
5060 382
5070 348
5080 352
5090 313
5100 348
5110 329
5120 328
5130 313
5140 378
5150 365
5160 376
5170 314
5180 277
5190 313
5200 302
5210 292
5220 338
5230 260
5240 273
5250 308
5260 320
5270 368
5280 309
5290 295
5300 346
5310 302
5320 310
5330 331
5340 284
5350 299
5360 298
5370 290
5380 322
5390 304
5400 302
5410 312
5420 317
5430 316
5440 297
5450 294
5460 305
5470 244
5480 276
5490 304
5500 272
5510 259
5520 322
5530 277
5540 244
5550 210
5560 222
5570 227
5580 202
5590 264
5600 248
5610 265
5620 261
5630 269
5640 274
5650 280
5660 265
5670 330
5680 324
5690 297
5700 314
5710 328
5720 307
5730 326
5740 328
5750 315
5760 320
5770 294
5780 281
5790 310
5800 318
5810 312
5820 271
5830 314
5840 282
5850 286
5860 289
5870 314
5880 236
5890 268
5900 253
5910 305
5920 294
5930 286
5940 304
5950 278
5960 301
5970 352
5980 264
5990 293
6000 266
6010 269
6020 275
6030 249
6040 215
6050 226
6060 228
6070 252
6080 235
6090 281
6100 273
6110 281
6120 314
6130 335
6140 328
6150 343
6160 336
6170 288
6180 252
6190 283
6200 260
6210 252
6220 284
6230 254
6240 271
6250 267
6260 299
6270 325
6280 282
6290 270
6300 281
6310 293
6320 226
6330 324
6340 257
6350 273
6360 289
6370 323
6380 273
6390 298
6400 273
6410 243
6420 275
6430 230
6440 299
6450 285
6460 295
6470 272
6480 296
6490 263
6500 257
6510 265
6520 202
6530 221
6540 228
6550 234
6560 246
6570 229
6580 264
6590 236
6600 272
6610 233
6620 244
6630 288
6640 265
6650 256
6660 241
6670 315
6680 283
6690 258
6700 249
6710 244
6720 282
6730 243
6740 250
6750 291
6760 269
6770 270
6780 292
6790 262
6800 217
6810 215
6820 252
6830 238
6840 207
6850 256
6860 246
6870 257
6880 301
6890 245
6900 197
6910 200
6920 199
6930 214
6940 199
6950 222
6960 237
6970 210
6980 218
6990 239
7000 215
7010 220
7020 214
7030 234
7040 228
7050 228
7060 235
7070 213
7080 212
7090 209
7100 217
7110 184
7120 187
7130 246
7140 196
7150 226
7160 215
7170 215
7180 255
7190 202
7200 227
7210 238
7220 277
7230 230
7240 236
7250 237
7260 305
7270 285
7280 265
7290 286
7300 261
7310 276
7320 288
7330 269
7340 263
7350 279
7360 276
7370 276
7380 258
7390 270
7400 255
7410 310
7420 317
7430 291
7440 270
7450 288
7460 278
7470 301
7480 310
7490 298
7500 317
7510 303
7520 312
7530 352
7540 339
7550 342
7560 356
7570 365
7580 355
7590 358
7600 373
7610 415
7620 404
7630 405
7640 450
7650 346
7660 359
7670 369
7680 344
7690 360
7700 367
7710 382
7720 366
7730 336
7740 359
7750 343
7760 399
7770 392
7780 313
7790 402
7800 313
7810 398
7820 370
7830 361
7840 388
7850 371
7860 339
7870 322
7880 333
7890 327
7900 300
7910 293
7920 295
7930 305
7940 304
7950 306
7960 295
7970 266
7980 255
7990 265
8000 223
8010 250
8020 241
8030 242
8040 213
8050 220
8060 283
8070 276
8080 263
8090 240
8100 239
8110 191
