# Frame Contacts
3000 195
3010 203
3020 236
3030 230
3040 218
3050 162
3060 207
3070 188
3080 193
3090 185
3100 182
3110 255
3120 217
3130 200
3140 237
3150 213
3160 231
3170 208
3180 223
3190 230
3200 211
3210 205
3220 188
3230 164
3240 191
3250 192
3260 198
3270 142
3280 189
3290 202
3300 192
3310 180
3320 146
3330 138
3340 157
3350 178
3360 159
3370 145
3380 121
3390 141
3400 162
3410 164
3420 198
3430 136
3440 123
3450 128
3460 96
3470 114
3480 125
3490 139
3500 136
3510 150
3520 141
3530 139
3540 187
3550 191
3560 203
3570 202
3580 187
3590 218
3600 199
3610 204
3620 215
3630 210
3640 198
3650 221
3660 211
3670 187
3680 177
3690 204
3700 186
3710 215
3720 162
3730 190
3740 193
3750 149
3760 119
3770 115
3780 169
3790 170
3800 153
3810 172
3820 133
3830 117
3840 126
3850 157
3860 108
3870 107
3880 121
3890 94
3900 98
3910 93
3920 129
3930 117
3940 68
3950 64
3960 89
3970 135
3980 88
3990 108
4000 129
4010 153
4020 151
4030 97
4040 107
4050 115
4060 140
4070 138
4080 99
4090 117
4100 110
4110 136
4120 119
4130 128
4140 156
4150 131
4160 117
4170 92
4180 117
4190 73
4200 108
4210 100
4220 117
4230 130
4240 113
4250 108
4260 129
4270 120
4280 140
4290 111
4300 130
4310 132
4320 155
4330 113
4340 168
4350 159
4360 140
4370 156
4380 122
4390 186
4400 150
4410 133
4420 158
4430 162
4440 165
4450 142
4460 152
4470 159
4480 154
4490 129
4500 168
4510 177
4520 178
4530 151
4540 148
4550 150
4560 142
4570 167
4580 135
4590 186
4600 192
4610 110
4620 124
4630 126
4640 121
4650 132
4660 170
4670 134
4680 143
4690 150
4700 149
4710 134
4720 127
4730 167
4740 114
4750 117
4760 145
4770 119
4780 114
4790 130
4800 137
4810 102
4820 128
4830 135
4840 120
4850 118
4860 112
4870 148
4880 139
4890 164
4900 151
4910 131
4920 129
4930 118
4940 141
4950 122
4960 85
4970 164
4980 166
4990 173
5000 147
5010 147
5020 126
5030 156
5040 104
5050 125
5060 134
5070 121
5080 160
5090 198
5100 156
5110 156
5120 184
5130 170
5140 161
5150 160
5160 159
5170 173
5180 171
5190 198
5200 194
5210 176
5220 164
5230 162
5240 168
5250 193
5260 165
5270 175
5280 162
5290 154
5300 150
5310 157
5320 166
5330 167
5340 178
5350 180
5360 209
5370 180
5380 156
5390 175
5400 195
5410 168
5420 147
5430 205
5440 192
5450 214
5460 206
5470 218
5480 202
5490 188
5500 198
5510 250
5520 189
5530 207
5540 157
5550 156
5560 205
5570 227
5580 225
5590 244
5600 192
5610 190
5620 207
5630 212
5640 211
5650 209
5660 210
5670 200
5680 205
5690 182
5700 206
5710 208
5720 194
5730 174
5740 163
5750 144
5760 149
5770 163
5780 164
5790 205
5800 118
5810 119
5820 135
5830 126
5840 146
5850 129
5860 125
5870 144
5880 131
5890 108
5900 107
5910 111
5920 116
5930 148
5940 128
5950 120
5960 62
5970 75
5980 85
5990 79
6000 74
6010 131
6020 132
6030 126
6040 129
6050 133
6060 115
6070 111
6080 129
6090 141
6100 134
6110 140
6120 167
6130 155
6140 158
6150 120
6160 116
6170 74
6180 149
6190 95
6200 127
6210 148
6220 98
6230 126
6240 121
6250 119
6260 143
6270 110
6280 129
6290 115
6300 123
6310 97
6320 90
6330 121
6340 161
6350 130
6360 135
6370 115
6380 132
6390 119
6400 154
6410 154
6420 157
6430 161
6440 163
6450 160
6460 133
6470 134
6480 186
6490 144
6500 163
6510 129
6520 157
6530 112
6540 144
6550 117
6560 126
6570 135
6580 127
6590 120
6600 113
6610 104
6620 99
6630 121
6640 92
6650 95
6660 112
6670 123
6680 111
6690 153
6700 76
6710 95
6720 114
6730 128
6740 109
6750 134
6760 134
6770 92
6780 123
6790 95
6800 92
6810 85
6820 97
6830 117
6840 110
6850 100
6860 113
6870 84
6880 163
6890 142
6900 144
6910 116
6920 116
6930 142
6940 135
6950 118
6960 94
6970 100
6980 104
6990 141
7000 100
7010 90
7020 85
7030 101
7040 95
7050 123
7060 107
7070 142
7080 119
7090 145
7100 116
7110 120
7120 141
7130 125
7140 108
7150 115
7160 116
7170 112
7180 120
7190 103
7200 105
7210 91
7220 100
7230 122
7240 96
7250 162
7260 133
7270 140
7280 140
7290 147
7300 176
7310 122
7320 197
7330 141
7340 145
7350 103
7360 157
7370 110
7380 142
7390 160
7400 191
7410 135
7420 154
7430 145
7440 163
7450 180
7460 162
7470 169
7480 173
7490 150
7500 119
7510 149
7520 135
7530 126
7540 150
7550 166
7560 134
7570 161
7580 173
7590 182
7600 180
7610 154
7620 174
7630 179
7640 188
7650 173
7660 155
7670 176
7680 179
7690 193
7700 189
7710 178
7720 152
7730 157
7740 141
7750 148
7760 153
7770 173
7780 170
7790 193
7800 176
7810 212
7820 155
7830 173
7840 187
7850 200
7860 180
7870 153
7880 202
7890 178
7900 165
7910 166
7920 191
7930 183
7940 175
7950 205
7960 203
7970 186
7980 217
7990 190
8000 176
8010 153
8020 160
8030 168
8040 154
8050 201
8060 182
8070 151
8080 141
8090 214
8100 151
8110 181
8120 164
8130 209
8140 147
8150 195
8160 200
8170 233
8180 229
8190 207
8200 195
8210 215
8220 169
8230 169
8240 166
8250 191
8260 181
8270 177
8280 167
8290 175
8300 217
8310 184
8320 181
8330 193
8340 174
8350 186
8360 199
8370 190
8380 178
8390 167
8400 173
8410 166
8420 168
8430 199
8440 184
8450 169
8460 175
8470 198
8480 191
8490 190
8500 161
8510 146
8520 208
8530 224
8540 215
8550 172
8560 148
8570 195
8580 204
8590 209
8600 188
8610 146
8620 164
8630 159
8640 194
8650 184
8660 171
8670 161
8680 198
8690 168
8700 201
8710 166
8720 196
8730 152
8740 191
8750 170
8760 162
8770 172
8780 158
8790 152
8800 154
8810 162
8820 175
8830 170
8840 152
8850 174
8860 160
8870 177
8880 178
8890 188
8900 184
8910 181
8920 195
8930 191
8940 148
8950 178
8960 187
8970 195
8980 177
8990 192
9000 164
9010 184
9020 146
9030 199
9040 197
9050 192
9060 188
9070 132
9080 206
9090 185
9100 164
9110 172
9120 187
9130 214
9140 199
9150 220
9160 227
9170 191
9180 144
9190 159
9200 193
9210 204
9220 199
9230 203
9240 200
9250 181
9260 206
9270 198
9280 211
9290 179
9300 220
9310 189
9320 179
9330 172
9340 189
9350 172
9360 186
9370 200
9380 171
9390 201
9400 208
9410 166
9420 199
9430 149
9440 198
9450 199
9460 182
9470 191
9480 157
9490 172
9500 201
9510 192
9520 200
9530 182
9540 192
9550 209
9560 203
9570 184
9580 200
9590 198
9600 192
9610 221
9620 221
9630 183
9640 199
9650 171
9660 207
