# Frame Contacts
3000 200
3010 195
3020 205
3030 200
3040 215
3050 208
3060 203
3070 213
3080 195
3090 184
3100 197
3110 199
3120 151
3130 202
3140 165
3150 165
3160 131
3170 188
3180 176
3190 149
3200 172
3210 178
3220 175
3230 176
3240 199
3250 215
3260 214
3270 189
3280 225
3290 167
3300 180
3310 185
3320 211
3330 184
3340 189
3350 168
3360 175
3370 186
3380 170
3390 178
3400 206
3410 198
3420 165
3430 166
3440 224
3450 201
3460 215
3470 219
3480 210
3490 199
3500 196
3510 200
3520 207
3530 192
3540 209
3550 223
3560 211
3570 176
3580 206
3590 216
3600 195
3610 229
3620 227
3630 216
3640 213
3650 228
3660 230
3670 208
3680 217
3690 222
3700 225
3710 247
3720 240
3730 198
3740 202
3750 179
3760 167
3770 191
3780 151
3790 156
3800 160
3810 185
3820 163
3830 150
3840 126
3850 156
3860 131
3870 167
3880 221
3890 203
3900 209
3910 165
3920 163
3930 178
3940 183
3950 183
3960 150
3970 180
3980 158
3990 206
4000 181
4010 205
4020 185
4030 226
4040 210
4050 206
4060 244
4070 204
4080 217
4090 210
4100 240
4110 154
4120 199
4130 222
4140 200
4150 263
4160 229
4170 233
4180 257
4190 254
4200 235
4210 208
4220 192
4230 215
4240 195
4250 212
4260 231
4270 179
4280 195
4290 186
4300 228
4310 212
4320 184
4330 205
4340 207
4350 174
4360 206
4370 181
4380 198
4390 202
4400 182
4410 168
4420 178
4430 172
4440 150
4450 173
4460 188
4470 163
4480 152
4490 154
4500 164
4510 150
4520 156
4530 164
4540 168
4550 152
4560 178
4570 176
4580 161
4590 170
4600 155
4610 168
4620 149
4630 172
4640 155
4650 156
4660 185
4670 178
4680 188
4690 219
4700 178
4710 136
4720 164
4730 167
4740 192
4750 189
4760 209
4770 137
4780 163
4790 208
4800 219
4810 224
4820 229
4830 209
4840 241
4850 212
4860 192
4870 225
4880 198
4890 204
4900 198
4910 180
4920 198
4930 241
4940 244
4950 203
4960 241
4970 250
4980 265
4990 215
5000 251
5010 241
5020 227
5030 270
5040 252
5050 210
5060 245
5070 211
5080 247
5090 229
5100 261
5110 230
5120 198
5130 238
5140 227
5150 207
5160 260
5170 196
5180 220
5190 177
5200 217
5210 190
5220 176
5230 222
5240 213
5250 199
5260 205
5270 211
5280 198
5290 177
5300 209
