# Frame Contacts
3000 131
3010 163
3020 182
3030 190
3040 133
3050 210
3060 169
3070 194
3080 205
3090 230
3100 208
3110 149
3120 171
3130 167
3140 170
3150 198
3160 165
3170 142
3180 187
3190 150
3200 173
3210 161
3220 189
3230 137
3240 192
3250 156
3260 160
3270 134
3280 191
3290 198
3300 183
3310 173
3320 190
3330 168
3340 174
3350 236
3360 217
3370 260
3380 216
3390 221
3400 196
3410 174
3420 148
3430 194
3440 186
3450 175
3460 200
3470 193
3480 148
3490 190
3500 163
3510 143
3520 163
3530 118
3540 177
3550 189
3560 165
3570 176
3580 178
3590 224
3600 169
3610 180
3620 180
3630 182
3640 128
3650 170
3660 188
3670 136
3680 140
3690 159
3700 152
3710 173
3720 169
3730 218
3740 178
3750 170
3760 173
3770 180
3780 238
3790 171
3800 187
3810 189
3820 170
3830 154
3840 170
3850 182
3860 187
3870 174
3880 200
3890 193
3900 169
3910 200
3920 202
3930 216
3940 205
3950 202
3960 201
3970 203
3980 174
3990 120
4000 181
4010 153
4020 204
4030 180
4040 206
4050 202
4060 263
4070 219
4080 206
4090 160
4100 124
4110 178
4120 171
4130 179
4140 234
4150 197
4160 170
4170 148
4180 189
4190 194
4200 209
4210 199
4220 210
4230 210
4240 189
4250 158
4260 193
4270 212
4280 214
4290 170
4300 132
4310 167
4320 183
4330 198
4340 200
4350 215
4360 220
4370 163
4380 134
4390 146
4400 145
4410 153
4420 258
4430 275
4440 289
4450 265
4460 221
4470 266
4480 265
4490 250
4500 241
4510 232
4520 257
4530 248
4540 260
4550 232
4560 217
4570 279
4580 258
4590 238
4600 238
4610 219
4620 220
4630 251
4640 222
4650 257
4660 239
4670 276
4680 275
4690 268
4700 276
4710 262
4720 257
4730 257
4740 254
4750 285
4760 265
4770 246
4780 248
4790 276
4800 279
4810 254
4820 299
4830 345
4840 236
4850 252
4860 274
4870 252
4880 253
4890 264
4900 247
4910 284
4920 237
4930 254
4940 198
4950 247
4960 259
4970 290
4980 282
4990 279
5000 251
5010 249
5020 285
5030 301
5040 282
5050 298
5060 290
5070 278
5080 272
5090 280
5100 273
5110 288
5120 291
5130 273
5140 253
5150 270
5160 268
5170 275
5180 238
5190 279
5200 231
5210 243
5220 285
5230 301
5240 256
